"REGION";"WAITTIME.imputed";"se";"DEff.WAITTIME.imputed"
1;52,2870454523691;1,87307640954828;1,51899013692466
2;43,7416614060448;2,03726522734116;1,83455802636102
3;54,3324857276849;1,59375972504987;1,71691749363181
4;47,3879328562174;2,20489791327121;1,95278075873767
